fecha,lluvia_mm,eto_media_cuenca_mm,balance_diario_mm,lluvia_acum_7d,eto_acum_7d,balance_7d,lluvia_acum_30d,eto_acum_30d,balance_30d,lluvia_acum_90d,eto_acum_90d,balance_90d,lluvia_acum_180d,eto_acum_180d,balance_180d
1981-01-01,0.0,2.8553612323413486,-2.8553612323413486,,,,,,,,,,,,
1981-01-02,0.0,2.5973994699450897,-2.5973994699450897,,,,,,,,,,,,
1981-01-03,0.0,2.7216756889123563,-2.7216756889123563,,,,,,,,,,,,
1981-01-04,0.0,2.559293255077844,-2.559293255077844,,,,,,,,,,,,
1981-01-05,3.4751995822372663,2.635528818155605,0.8396707640816614,,,,,,,,,,,,
1981-01-06,0.0534554459742997,2.8547552492930284,-2.8012998033187286,,,,,,,,,,,,
1981-01-07,0.0,2.7231364813485506,-2.7231364813485506,3.528655028211566,18.947150195073824,-15.418495166862257,,,,,,,,,
1981-01-08,0.0,2.4603260736018497,-2.4603260736018497,3.528655028211566,18.552115036334325,-15.023460008122758,,,,,,,,,
1981-01-09,0.0,2.882770358200541,-2.882770358200541,3.528655028211566,18.837485924589775,-15.30883089637821,,,,,,,,,
1981-01-10,0.0,2.849556563275202,-2.849556563275202,3.528655028211566,18.965366798952623,-15.436711770741056,,,,,,,,,
1981-01-11,1.4818840589408118,2.7373676596070293,-1.2554836006662176,5.010539087152377,19.143441203481807,-14.13290211632943,,,,,,,,,
1981-01-12,0.0,2.859508649249392,-2.859508649249392,1.5353395049151115,19.367421034575592,-17.83208152966048,,,,,,,,,
1981-01-13,0.0,2.782032244790976,-2.782032244790976,1.4818840589408118,19.29469803007354,-17.81281397113273,,,,,,,,,
1981-01-14,0.0,3.10750686838784,-3.10750686838784,1.4818840589408118,19.67906841711283,-18.19718435817202,,,,,,,,,
1981-01-15,0.0,3.0690392238196305,-3.0690392238196305,1.4818840589408118,20.28778156733061,-18.805897508389798,,,,,,,,,
1981-01-16,0.0,2.9267362309620526,-2.9267362309620526,1.4818840589408118,20.331747440092123,-18.84986338115131,,,,,,,,,
1981-01-17,0.0,2.959994035181781,-2.959994035181781,1.4818840589408118,20.4421849119987,-18.96030085305789,,,,,,,,,
1981-01-18,0.0,2.9876339540306787,-2.9876339540306787,0.0,20.69245120642235,-20.69245120642235,,,,,,,,,
1981-01-19,0.0,2.95353143504639,-2.95353143504639,0.0,20.78647399221935,-20.78647399221935,,,,,,,,,
1981-01-20,0.0,3.5602939373763443,-3.5602939373763443,0.0,21.564735684804717,-21.564735684804717,,,,,,,,,
1981-01-21,0.0,3.430180527896744,-3.430180527896744,0.0,21.88740934431362,-21.88740934431362,,,,,,,,,
1981-01-22,0.0,3.3105710662995564,-3.3105710662995564,0.0,22.128941186793547,-22.128941186793547,,,,,,,,,
1981-01-23,0.0,3.825982479259274,-3.825982479259274,0.0,23.028187435090768,-23.02818743509077,,,,,,,,,
1981-01-24,0.0,3.436767841873193,-3.436767841873193,0.0,23.50496124178218,-23.50496124178218,,,,,,,,,
1981-01-25,0.0,3.312432145484187,-3.312432145484187,0.0,23.829759433235687,-23.82975943323569,,,,,,,,,
