fecha,nivel_diario_m
2016-02-02,0.4389
2016-02-03,0.4402
2016-02-04,0.4238
2016-02-05,0.4203
2016-02-06,0.4141
2016-02-07,0.4099
2016-02-08,0.4123
2016-02-09,0.4101
2016-02-10,0.4466
2016-02-11,0.4435
2016-02-12,0.4238
2016-02-13,0.4383
2016-02-14,0.4185
2016-02-15,0.4182
2016-02-16,0.4146
2016-02-17,0.41
2016-02-18,0.4051
2016-02-19,0.4136
2016-02-20,0.4122
2016-02-21,0.403
2016-02-22,0.4132
2016-02-23,0.4297
2016-02-24,0.4195
2016-02-25,0.4015
2016-02-26,0.4048
2016-02-27,0.3981
2016-02-28,0.3949
2016-02-29,0.4588
2016-03-01,0.4749
2016-03-02,0.4483
2016-03-03,0.4352
2016-03-04,0.4168
2016-03-05,0.3984
2016-03-06,0.3935
2016-03-07,0.4054
2016-03-08,0.3944
2016-03-09,0.3864
2016-03-10,0.379
2016-03-11,0.39
2016-03-12,0.3843
2016-03-13,0.3834
2016-03-14,0.3936
2016-03-15,0.3781
2016-03-16,0.3746
2016-03-17,0.3727
2016-03-18,0.3726
2016-03-19,0.3759
2016-03-20,0.3827
2016-03-21,0.3777
2016-03-22,0.3713
2016-03-23,0.358
2016-03-24,0.3559
2016-03-25,0.3646
2016-03-26,0.3623
2016-03-27,0.3542
2016-03-28,0.36
2016-03-29,0.3593
2016-03-30,0.3573
2016-03-31,0.3562
2016-04-01,0.3695
2016-04-02,0.3755
2016-04-03,0.368
2016-04-04,0.3719
2016-04-05,0.3622
2016-04-06,0.3474
2016-04-07,0.3467
2016-04-08,0.3471
2016-04-09,0.3463
2016-04-10,0.344
2016-04-11,0.3444
2016-04-12,0.3529
2016-04-13,0.3515
2016-04-14,0.3535
2016-04-15,0.3598
2016-04-16,0.36
2016-04-17,0.3594
2016-04-18,0.365
2016-04-19,0.3671
2016-04-20,0.3569
2016-04-21,0.3629
2016-04-22,0.3526
2016-04-23,0.3447
2016-04-24,0.3484
2016-04-25,0.3594
2016-04-26,0.363
2016-04-27,0.3906
2016-04-28,0.4787
2016-04-29,0.4897
2016-04-30,0.4705
2016-05-01,0.5316
2016-05-02,0.5705
2016-05-03,0.5616
2016-05-04,0.7825
2016-05-05,0.5851
2016-05-06,0.5541
2016-05-07,0.514
2016-05-08,0.5015
2016-05-09,0.4693
2016-05-10,0.4465
2016-05-11,0.45
2016-05-12,0.4415
2016-05-13,0.4344
2016-05-14,0.413
2016-05-15,0.4158
2016-05-16,0.4161
2016-05-17,0.4246
2016-05-18,0.4655
2016-05-19,0.479
2016-05-20,0.4637
2016-05-21,0.46
2016-05-22,0.457
2016-05-23,0.4547
2016-05-24,0.4453
2016-05-25,0.4428
2016-05-26,0.4428
2016-05-27,0.4468
2016-05-28,0.5045
2016-05-29,0.5131
2016-05-30,0.8379
2016-05-31,0.6101
2016-06-01,0.9173
2016-06-02,0.604
2016-06-03,0.7476
2016-06-04,0.7223
2016-06-05,1.4764
2016-06-06,1.084
2016-06-07,0.8526
2016-06-08,0.9725
2016-06-09,0.97
2016-06-10,0.698
2016-06-11,0.7796
2016-06-12,0.7203
2016-06-13,0.6538
2016-06-14,0.6631
2016-06-15,0.8472
2016-06-16,0.7364
2016-06-17,0.8566
2016-06-18,0.7093
2016-06-19,0.6372
2016-06-20,0.6101
2016-06-21,0.5927
2016-06-22,0.5783
2016-06-23,0.5739
2016-06-24,0.5637
2016-06-25,0.7036
2016-06-26,0.6498
2016-06-27,0.618
2016-06-28,0.646
2016-06-29,0.601
2016-06-30,0.591
2016-07-01,0.6986
2016-07-02,0.7605
2016-07-03,0.7857
2016-07-04,0.6921
2016-07-05,0.6956
2016-07-06,0.6533
2016-07-07,0.6392
2016-07-08,0.6308
2016-07-09,0.6192
2016-07-10,0.6497
2016-07-11,1.1507
2016-07-12,0.9278
2016-07-13,0.7809
2016-07-14,0.7167
2016-07-15,0.682
2016-07-16,0.6575
2016-07-17,0.6378
2016-07-18,0.6561
2016-07-19,1.104
2016-07-20,0.7982
2016-07-21,0.7485
2016-07-22,0.6875
2016-07-23,0.6819
2016-07-24,0.6615
2016-07-25,0.6385
2016-07-26,0.6178
2016-07-27,0.6088
2016-07-28,0.6205
2016-07-29,0.6096
2016-07-30,0.6298
2016-07-31,0.6199
2016-08-01,0.5977
2016-08-02,0.5956
2016-08-03,0.5921
2016-08-04,0.6255
2016-08-05,0.8366
2016-08-06,0.693
2016-08-07,0.6602
2016-08-08,0.6289
2016-08-09,0.7128
2016-08-10,0.6798
2016-08-11,0.715
2016-08-12,0.7316
2016-08-13,0.6969
2016-08-14,0.6851
2016-08-15,0.6718
2016-08-16,0.6945
2016-08-17,0.6578
2016-08-18,0.6557
2016-08-19,0.679
2016-08-20,0.6455
2016-08-21,0.7049
2016-08-22,0.6632
2016-08-23,0.6378
2016-08-24,0.6244
2016-08-25,0.6066
2016-08-26,0.6021
2016-08-27,0.6162
2016-08-28,0.7553
2016-08-29,1.0295
2016-08-30,0.9336
2016-08-31,1.1184
2016-09-01,1.2169
2016-09-02,1.4759
2016-09-03,0.9599
2016-09-04,0.7743
2016-09-05,0.7128
2016-09-06,0.7701
2016-09-07,0.8106
2016-09-08,0.7236
2016-09-09,0.6775
2016-09-10,0.7228
2016-09-11,0.7206
2016-09-12,1.4766
2016-09-13,0.9139
2016-09-14,0.8948
2016-09-15,1.1861
2016-09-16,0.9633
2016-09-17,1.1349
2016-09-18,0.8103
2016-09-19,0.7525
2016-09-20,0.752
2016-09-21,0.8455
2016-09-22,0.7794
2016-09-23,0.758
2016-09-24,0.8894
2016-09-25,0.7367
2016-09-26,0.7264
2016-09-27,0.8666
2016-09-28,0.7185
2016-09-29,0.6827
2016-09-30,0.6685
2016-10-01,0.654
2016-10-02,0.6457
2016-10-03,0.6342
2016-10-04,0.631
2016-10-05,0.7122
2016-10-06,0.8665
2016-10-07,0.9191
2016-10-08,0.9178
2016-10-09,0.8228
2016-10-10,1.8609
2016-10-11,0.9601
2016-10-12,0.9748
2016-10-13,0.9025
2016-10-14,0.8831
2016-10-15,1.362
2016-10-16,1.0035
2016-10-17,1.1716
2016-10-18,1.2417
2016-10-19,1.17
2016-10-20,1.2953
2016-10-21,1.2257
2016-10-22,1.0908
2016-10-23,0.9359
2016-10-24,0.8618
2016-10-25,0.8168
2016-10-26,0.783
2016-10-27,0.7582
2016-10-28,0.7993
2016-10-29,0.8102
2016-10-30,0.7528
2016-10-31,0.7826
2016-11-01,1.0856
2016-11-02,1.6022
2016-11-03,1.1954
2016-11-04,0.9508
2016-11-05,1.1895
2016-11-06,1.0353
2016-11-07,0.8961
2016-11-08,0.836
2016-11-09,0.7992
2016-11-10,0.7807
2016-11-11,0.8126
2016-11-12,0.8672
2016-11-13,0.81
2016-11-14,0.7862
2016-11-15,0.762
2016-11-16,0.7656
2016-11-17,0.7808
2016-11-18,0.7434
2016-11-19,0.8197
2016-11-20,0.8548
2016-11-21,0.782
2016-11-22,0.7478
2016-11-23,0.7314
2016-11-24,0.7711
2016-11-25,3.498
2016-11-26,1.3482
2016-11-27,1.5188
2016-11-28,1.2978
2016-11-29,1.1146
2016-11-30,1.0323
2016-12-01,0.9706
2016-12-02,0.9172
2016-12-03,0.8784
2016-12-04,0.9268
2016-12-05,1.5343
2016-12-06,1.022
2016-12-07,0.9025
2016-12-08,0.8546
2016-12-09,0.8434
2016-12-10,0.8657
2016-12-11,1.118
2016-12-12,1.1418
2016-12-13,1.0245
2016-12-14,0.9533
2016-12-15,0.9556
2016-12-16,0.9299
2016-12-17,0.9384
2016-12-18,0.9561
2016-12-19,0.9089
2016-12-20,0.9883
2016-12-21,1.4523
2016-12-22,1.223
2016-12-23,1.0677
2016-12-24,1.0339
2016-12-25,1.0061
2016-12-26,0.9959
2016-12-27,0.9901
2016-12-28,0.975
2016-12-29,1.0543
2016-12-30,1.0238
2016-12-31,1.0051
2017-01-01,0.9556
2017-01-02,0.9538
2017-01-03,0.9363
2017-01-04,0.8916
2017-01-05,0.8562
2017-01-06,0.8311
2017-01-07,0.8121
2017-01-08,0.8021
2017-01-09,0.816
2017-01-10,0.8395
2017-01-11,0.9531
2017-01-12,1.0388
2017-01-13,1.0815
2017-01-14,1.1308
2017-01-15,1.0056
2017-01-16,0.9562
2017-01-17,0.9019
2017-01-18,0.8677
2017-01-19,0.8419
2017-01-20,0.8288
2017-01-21,0.7981
2017-01-22,0.7792
2017-01-23,0.7712
2017-01-24,0.7577
2017-01-25,0.7431
2017-01-26,0.7311
2017-01-27,0.7215
2017-01-28,0.7119
2017-01-29,0.705
2017-01-30,0.7004
2017-01-31,0.6919
2017-02-01,0.7026
2017-02-02,0.6869
2017-02-03,0.6808
2017-02-04,0.6796
2017-02-05,0.67
2017-02-06,0.6678
2017-02-07,0.6542
2017-02-08,0.6485
2017-02-09,0.6412
2017-02-10,0.6319
2017-02-11,0.6277
2017-02-12,0.6193
2017-02-13,0.6188
2017-02-14,0.6073
2017-02-15,0.6
2017-02-16,0.5931
2017-02-17,0.5867
2017-02-18,0.5823
2017-02-19,0.575
2017-02-20,0.5731
2017-02-21,0.5635
2017-02-22,0.5592
2017-02-23,0.5559
2017-02-24,0.5562
2017-02-25,0.5442
2017-02-26,0.5385
2017-02-27,0.5431
2017-02-28,0.53
2017-03-01,0.5312
2017-03-02,0.5196
2017-03-03,0.51
2017-03-04,0.5085
2017-03-05,0.5088
2017-03-06,0.5133
2017-03-07,0.5046
2017-03-08,0.5027
2017-03-09,0.4988
2017-03-10,0.5065
2017-03-11,0.4959
2017-03-12,0.4862
2017-03-13,0.4981
2017-03-14,0.4931
2017-03-15,0.4869
2017-03-16,0.4969
2017-03-17,0.5019
2017-03-18,0.4954
2017-03-19,0.5158
2017-03-20,0.5108
2017-03-21,0.5135
2017-03-22,0.497
2017-03-23,0.4973
2017-03-24,0.4819
2017-03-25,0.47
2017-03-26,0.47
2017-03-27,0.47
2017-03-28,0.4748
2017-03-29,0.4642
2017-03-30,0.4662
2017-03-31,0.4669
2017-04-01,0.4477
2017-04-02,0.44
2017-04-03,0.4512
2017-04-04,0.45
2017-04-05,0.4404
2017-04-06,0.44
2017-04-07,0.4446
2017-04-08,0.4333
2017-04-09,0.4335
2017-04-10,0.4377
2017-04-11,0.4358
2017-04-12,0.4315
2017-04-13,0.4415
2017-04-14,0.4458
2017-04-15,0.4408
2017-04-16,0.4435
2017-04-17,0.4473
2017-04-18,0.4277
2017-04-19,0.4233
2017-04-20,0.43
2017-04-21,0.4292
2017-04-22,0.4385
2017-04-23,0.4473
2017-04-24,0.4589
2017-04-25,0.4523
2017-04-26,0.4731
2017-04-27,0.5819
2017-04-28,0.5392
2017-04-29,0.5154
2017-04-30,0.4822
2017-05-01,0.4773
2017-05-02,0.4736
2017-05-03,0.4624
2017-05-04,0.45
2017-05-05,0.5938
2017-05-06,0.527
2017-05-07,0.5447
2017-05-08,0.5982
2017-05-09,0.6721
2017-05-10,0.577
2017-05-11,0.5734
2017-05-12,0.8579
2017-05-13,0.6843
2017-05-14,0.5905
